new_index,id,title,author,year,publisher,issn,url,doi,abstract,keyword,pages,num_pages,publication_venue,content_type,source
0,,Service-Oriented Computing  – ICSOC 2020 Workshops,Hakim HacidFatma OutayHye-young PaikAmira AlloumMarinella PetrocchiMohamed Reda BouadjenekDr. Amin BeheshtiXumin LiuAbderrahmane Maaradji,2021,,,http://link.springer.com/book/10.1007/978-3-030-76352-7,10.1007/978-3-030-76352-7,,,,,Lecture Notes in Computer Science,Book,Springer
1,,Using Language Models to Pre-train Features for Optimizing Information Technology Operations Management Tasks,Xiaotong LiuYingbei TongAnbang XuRama Akkiraju,2021,,,http://link.springer.com/chapter/10.1007/978-3-030-76352-7_18,10.1007/978-3-030-76352-7_18,,,,,Service-Oriented Computing  – ICSOC 2020 Workshops,Chapter,Springer
2,,Computational Science and Its Applications – ICCSA 2021,Prof. Dr. Osvaldo GervasiBeniamino MurganteDr. Sanjay MisraDr. Chiara GarauIvan BlečićDavid TaniarBernady O. ApduhanAna Maria A. C. RochaEufemia TarantinoCarmelo Maria Torre,2021,,,http://link.springer.com/book/10.1007/978-3-030-86970-0,10.1007/978-3-030-86970-0,,,,,Lecture Notes in Computer Science,Book,Springer
3,,Artificial Intelligence in Education,Ido RollDanielle McNamaraSergey SosnovskyRose LuckinVania Dimitrova,2021,,,http://link.springer.com/book/10.1007/978-3-030-78292-4,10.1007/978-3-030-78292-4,,,,,Lecture Notes in Computer Science,Book,Springer
4,,Interpretation of Swedish Sign Language Using Convolutional Neural Networks and Transfer Learning,Gustaf HalvardssonJohanna PetersonCésar Soto-ValeroBenoit Baudry,2021,,,http://link.springer.com/article/10.1007/s42979-021-00612-w,10.1007/s42979-021-00612-w,,,,,SN Computer Science,Article,Springer
5,,Commit2Vec: Learning Distributed Representations of Code Changes,Rocío Cabrera LozoyaArnaud BaumannAntonino SabettaMichele Bezzi,2021,,,http://link.springer.com/article/10.1007/s42979-021-00566-z,10.1007/s42979-021-00566-z,,,,,SN Computer Science,Article,Springer
6,,Chinese Lexical Semantics,Prof. Meichun LiuChunyu KitDr. Qi Su,2021,,,http://link.springer.com/book/10.1007/978-3-030-81197-6,10.1007/978-3-030-81197-6,,,,,Lecture Notes in Computer Science,Book,Springer
7,,Advances in Computational Collective Intelligence,Krystian WojtkiewiczProf. Dr. Jan TreurDr. Elias PimenidisMarcin Maleszka,2021,,,http://link.springer.com/book/10.1007/978-3-030-88113-9,10.1007/978-3-030-88113-9,,,,,Communications in Computer and Information Science,Book,Springer
8,,Statistical Language and Speech Processing,Luis Espinosa-AnkeCarlos Martín-VideProf. Dr. Irena Spasić,2021,,,http://link.springer.com/book/10.1007/978-3-030-89579-2,10.1007/978-3-030-89579-2,,,,,Lecture Notes in Computer Science,Book,Springer
9,,Improving German Image Captions Using Machine Translation and Transfer Learning,Rajarshi BiswasMichael BarzMareike HartmannDaniel Sonntag,2021,,,http://link.springer.com/chapter/10.1007/978-3-030-89579-2_1,10.1007/978-3-030-89579-2_1,,,,,Statistical Language and Speech Processing,Chapter,Springer
10,,Classifying Math Knowledge Components via Task-Adaptive Pre-Trained BERT,Jia Tracy ShenMichiharu YamashitaEthan PriharNeil HeffernanXintao WuSean McGrewDongwon Lee,2021,,,http://link.springer.com/chapter/10.1007/978-3-030-78292-4_33,10.1007/978-3-030-78292-4_33,,,,,Artificial Intelligence in Education,Chapter,Springer
11,,Data Science and Computational Intelligence,Dr. K. R. VenugopalP. Deepa ShenoyProf. Dr. Rajkumar BuyyaProf. L. M. PatnaikProf. Sitharama S. Iyengar,2021,,,http://link.springer.com/book/10.1007/978-3-030-91244-4,10.1007/978-3-030-91244-4,,,,,Communications in Computer and Information Science,Book,Springer
12,,Classical–Quantum Transfer Learning for Image Classification,Harshit MogalapalliMahesh AbburiB. NithyaSurya Kiran Vamsi Bandreddi,2021,,,http://link.springer.com/article/10.1007/s42979-021-00888-y,10.1007/s42979-021-00888-y,,,,,SN Computer Science,Article,Springer
13,,A Good Start is Half the Battle Won: Unsupervised Pre-training for Low Resource Children’s Speech Recognition for an Interactive Reading Companion,Abhinav MisraAnastassia LoukinaBeata Beigman KlebanovBinod GyawaliKlaus Zechner,2021,,,http://link.springer.com/chapter/10.1007/978-3-030-78292-4_25,10.1007/978-3-030-78292-4_25,,,,,Artificial Intelligence in Education,Chapter,Springer
14,,Advances in Computational Intelligence,Dr. Ildar BatyrshinAlexander GelbukhProf. Dr. Grigori Sidorov,2021,,,http://link.springer.com/book/10.1007/978-3-030-89817-5,10.1007/978-3-030-89817-5,,,,,Lecture Notes in Computer Science,Book,Springer
15,,"Wireless Algorithms, Systems, and Applications",Zhe LiuFan WuProf. Sajal K. Das,2021,,,http://link.springer.com/book/10.1007/978-3-030-85928-2,10.1007/978-3-030-85928-2,,,,,Lecture Notes in Computer Science,Book,Springer
16,,Multimodal Emotion Recognition Using Transfer Learning on Audio and Text Data,James J. DengClement H. C. LeungYuanxi Li,2021,,,http://link.springer.com/chapter/10.1007/978-3-030-86970-0_39,10.1007/978-3-030-86970-0_39,,,,,Computational Science and Its Applications – ICCSA 2021,Chapter,Springer
17,,"Highlights in Practical Applications of Agents, Multi-Agent Systems, and Social Good. The PAAMS Collection",Fernando De La PrietaAlia El BolockDalila DurãesJoão CarneiroFernando LopesVicente Julian,2021,,,http://link.springer.com/book/10.1007/978-3-030-85710-3,10.1007/978-3-030-85710-3,,,,,Communications in Computer and Information Science,Book,Springer
18,,Knowledge Graphs and Semantic Web,Boris Villazón-TerrazasFernando Ortiz-RodríguezSanju TiwariProf. Dr. Ayush GoyalProf. Dr. MA Jabbar,2021,,,http://link.springer.com/book/10.1007/978-3-030-91305-2,10.1007/978-3-030-91305-2,,,,,Communications in Computer and Information Science,Book,Springer
19,,A Deep Learning-Based Transfer Learning Approach for the Bird Species Classification,Tejalal ChoudharyShubham GujarKruti PanchalSarvjeetVipul MishraAnurag Goswami,2021,,,http://link.springer.com/chapter/10.1007/978-981-16-0404-1_4,10.1007/978-981-16-0404-1_4,,,,,Advanced Computing,Chapter,Springer
20,,Big Data and Security,Dr. Yuan TianTinghuai MaProf. Dr. Muhammad Khurram Khan,2021,,,http://link.springer.com/book/10.1007/978-981-16-3150-4,10.1007/978-981-16-3150-4,,,,,Communications in Computer and Information Science,Book,Springer
21,,Grounding Dialogue History: Strengths and Weaknesses of Pre-trained Transformers,Claudio GrecoAlberto TestoniRaffaella Bernardi,2021,,,http://link.springer.com/chapter/10.1007/978-3-030-77091-4_17,10.1007/978-3-030-77091-4_17,,,,,AIxIA 2020 – Advances in Artificial Intelligence,Chapter,Springer
22,,A Transfer Learning-Based Approach with Deep CNN for COVID-19- and Pneumonia-Affected Chest X-ray Image Classification,Soarov ChakrabortyShourav PaulK. M. Azharul Hasan,2021,,,http://link.springer.com/article/10.1007/s42979-021-00881-5,10.1007/s42979-021-00881-5,,,,,SN Computer Science,Article,Springer
23,,Artificial General Intelligence,Dr. Ben GoertzelMatthew IkléAlexey Potapov,2022,,,http://link.springer.com/book/10.1007/978-3-030-93758-4,10.1007/978-3-030-93758-4,,,,,Lecture Notes in Computer Science,Book,Springer
24,,Class Representative Learning for Zero-shot Learning Using Purely Visual Data,Mayanka ChandrashekarYugyung Lee,2021,,,http://link.springer.com/article/10.1007/s42979-021-00648-y,10.1007/s42979-021-00648-y,,,,,SN Computer Science,Article,Springer
25,,A Research on the Generation Model and Evaluation Model of Chinese Wu-Qing Couplets,Yuyao ZhangYuru JiangYu WuJing Su,2021,,,http://link.springer.com/chapter/10.1007/978-3-030-81197-6_46,10.1007/978-3-030-81197-6_46,,,,,Chinese Lexical Semantics,Chapter,Springer
26,,Tomato Leaf Disease Prediction Using Transfer Learning,R. SangeethaM. Mary Shanthi Rani,2021,,,http://link.springer.com/chapter/10.1007/978-981-16-0404-1_1,10.1007/978-981-16-0404-1_1,,,,,Advanced Computing,Chapter,Springer
27,,Information and Software Technologies,Audrius LopataDaina GudonienėRita Butkienė,2021,,,http://link.springer.com/book/10.1007/978-3-030-88304-1,10.1007/978-3-030-88304-1,,,,,Communications in Computer and Information Science,Book,Springer
28,,Transfer Learning-Based Image Tagging Using Word Embedding Technique for Image Retrieval Applications,M. PoonkodiJ. ArunnehruK. S. Anand,2021,,,http://link.springer.com/chapter/10.1007/978-981-16-0708-0_14,10.1007/978-981-16-0708-0_14,,,,,Soft Computing and its Engineering Applications,Chapter,Springer
29,,Comparison of Czech Transformers on Text Classification Tasks,Jan LehečkaJan Švec,2021,,,http://link.springer.com/chapter/10.1007/978-3-030-89579-2_3,10.1007/978-3-030-89579-2_3,,,,,Statistical Language and Speech Processing,Chapter,Springer
30,,Theory and Practice of Natural Computing,Claus AranhaCarlos Martín-VideMiguel A. Vega-Rodríguez,2021,,,http://link.springer.com/book/10.1007/978-3-030-90425-8,10.1007/978-3-030-90425-8,,,,,Lecture Notes in Computer Science,Book,Springer
31,,Applied Computer Sciences in Engineering,Juan Carlos Figueroa-GarcíaYesid Díaz-GutierrezElvis Eduardo Gaona-GarcíaAlvaro David Orjuela-Cañón,2021,,,http://link.springer.com/book/10.1007/978-3-030-86702-7,10.1007/978-3-030-86702-7,,,,,Communications in Computer and Information Science,Book,Springer
32,,Deep Transfer Learning-Based Framework for COVID-19 Diagnosis Using Chest CT Scans and Clinical Information,Shreyas Mishra,2021,,,http://link.springer.com/article/10.1007/s42979-021-00785-4,10.1007/s42979-021-00785-4,,,,,SN Computer Science,Article,Springer
33,,Source Task Selection in Time Series via Performance Prediction,Jesús García-RamírezEduardo MoralesHugo Jair Escalante,2021,,,http://link.springer.com/chapter/10.1007/978-3-030-89817-5_9,10.1007/978-3-030-89817-5_9,,,,,Advances in Computational Intelligence,Chapter,Springer
34,,Artificial Intelligence and Soft Computing,Prof. Leszek RutkowskiDr. Rafał SchererMarcin KorytkowskiWitold PedryczProf. Ryszard TadeusiewiczDr. Jacek M. Zurada,2021,,,http://link.springer.com/book/10.1007/978-3-030-87986-0,10.1007/978-3-030-87986-0,,,,,Lecture Notes in Computer Science,Book,Springer
35,,"Convolutional Generative Adversarial Network, via Transfer Learning, for Traditional Scottish Music Generation",Francesco MarchettiCallum WilsonCheyenne PowellEdmondo MinisciAnnalisa Riccardi,2021,,,http://link.springer.com/chapter/10.1007/978-3-030-72914-1_13,10.1007/978-3-030-72914-1_13,,,,,"Artificial Intelligence in Music, Sound, Art and Design",Chapter,Springer
36,,Action Recognition Based on a Hybrid Deep Network,Yiping ZouXuan ZhouXuemei Ren,2021,,,http://link.springer.com/article/10.1007/s42979-021-00806-2,10.1007/s42979-021-00806-2,,,,,SN Computer Science,Article,Springer
37,,FishResNet: Automatic Fish Classification Approach in Underwater Scenario,Monika MathurNidhi Goel,2021,,,http://link.springer.com/article/10.1007/s42979-021-00614-8,10.1007/s42979-021-00614-8,,,,,SN Computer Science,Article,Springer
38,,Transfer Learning for Arthropodous Identification and its Use in the Transmitted Disease Diagnostic,David Garcia-RetuertaRoberto Casado-VaraSara Rodríguez,2021,,,http://link.springer.com/chapter/10.1007/978-3-030-85710-3_21,10.1007/978-3-030-85710-3_21,,,,,"Highlights in Practical Applications of Agents, Multi-Agent Systems, and Social Good. The PAAMS Collection",Chapter,Springer
